Metin,Durum,temiz_yorum,tahmin,dogru_mu
evet anlatıldığı gibi,1,evet anlatıldığı,1,True
Daha öncede almıştım bu cihazdan ense ve sakal tüketmek için on numara sıfıra yakın alıyor,1,öncede almıştım cihazdan ense sakal tüketmek on numara sıfıra yakın alıyor,1,True
Ürün gayet başarılı sakal kesmede başlık sayısı biraz daha fazla olabilirdi.Hem 0 a yakın aliyor. hem de kirli sakal için 3 numara başlık ideal.,1,ürün gayet başarılı sakal kesmede başlık sayısı biraz fazla olabilirdihem 0 a yakın aliyor kirli sakal 3 numara başlık ideal,1,True
Daha öncede aynısını almıştım çok güzel ve kaliteli bir ürün.,1,öncede aynısını almıştım güzel kaliteli bir ürün,1,True
Erkek kuaförüyüm ense ve sıfır sakal traşı için uygun bir ürün,1,erkek kuaförüyüm ense sıfır sakal traşı uygun bir ürün,1,True
ürün gerçekten çok güzel,1,ürün gerçekten güzel,1,True
Ürün beklediğimden güzel çıktı gayet kullanışlı tarklarda bir iki numara saha olsa daha iyidi ama her şey harika,1,ürün beklediğimden güzel çıktı gayet kullanışlı tarklarda bir iki numara saha olsa iyidi harika,1,True
güzel makina tavsiye ederim,1,güzel makina tavsiye ederim,1,True
tavsiye edebileceğim çok güzel bir makina,1,tavsiye edebileceğim güzel bir makina,1,True
"ürün geldiğinde şarjı vardı. ilk lullanım öncesi 10 saat kadar şarjda kaldı. yaklaşık 30 dk kadar kesintisiz kullandım vebhala şarjı iyi seviyedeydi. 30 dk kullanım sürecinde ısınmadı. ben saç traşı oldum. herhangi bir takılma-çekme vs sorun yaşamadım (saçlarım seyrel ve ince telli. uzunluğu 3-4 mm kadardı, taraksız traş oldum) bu performansı devam ederse mükemmel bir ürün diyebilirim.",1,ürün geldiğinde şarjı vardı ilk lullanım öncesi 10 saat kadar şarjda kaldı yaklaşık 30 dk kadar kesintisiz kullandım vebhala şarjı iyi seviyedeydi 30 dk kullanım sürecinde ısınmadı ben saç traşı oldum herhangi bir takılmaçekme vs sorun yaşamadım saçlarım seyrel ince telli uzunluğu 34 mm kadardı taraksız traş oldum performansı devam ederse mükemmel bir ürün diyebilirim,1,True
Ürün sadece aldığım gün güzel bir şekilde kesti. sonrasında saatlerce uğraşıp sadece sakalımı toplayabildim. Allah kahretsin başka bı makine alacam ama bu sefer powertec mi ? ASLA,0,ürün sadece aldığım gün güzel bir şekilde kesti sonrasında saatlerce uğraşıp sadece sakalımı toplayabildim allah kahretsin başka bı makine alacam sefer powertec mi asla,0,True
denedim ürün çok güzel herkese tavsiye ederim,1,denedim ürün güzel herkese tavsiye ederim,1,True
ürün harika tam istediğim gibi ayrıca mağazaya da teşekkürler hızlı oldukları için,1,ürün harika tam istediğim ayrıca mağazaya teşekkürler hızlı oldukları,1,True
Ürün hala elime geçmedi,0,ürün hala elime geçmedi,0,True
Bir kere kullandım memnun kaldım,1,bir kere kullandım memnun kaldım,1,True
35 TL ye berber makinesi powertec almıştım. 300 liraya aldığım dünya markası yerine onu kullandım. powertec yine şaşırtmadı harika bir ürün. genelde sakal kesiyorum çok iyi kesiyor. hiç yoruma felan bakmayın daha alın gitsin.,1,35 tl ye berber makinesi powertec almıştım 300 liraya aldığım dünya markası yerine onu kullandım powertec yine şaşırtmadı harika bir ürün genelde sakal kesiyorum iyi kesiyor yoruma felan bakmayın alın gitsin,1,True
tam istedigim gbi orjinal,1,tam istedigim gbi orjinal,1,True
"Ürün, kullanım açısından kolay. Yanında 1mm 2mm 3mm başlıkları ile geliyor. Sakal traşım ve şekil verme konularında bir sıkıntısını görmedim.",1,ürün kullanım açısından kolay yanında 1mm 2mm 3mm başlıkları geliyor sakal traşım şekil verme konularında bir sıkıntısını görmedim,1,True
